Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A case study of duplications detection for educational domain thorough ad hoc search and identification NLP-based method.","Mikhaylov, S.N.; Chuikova, V.V.; Sokolova, Marina V.; Potapenko, A.M.","Expert Systems",="02664720",,="Aug2017","34","4","n/a","11","124518582","10.1111/exsy.12200","Wiley-Blackwell","Article","NATURAL language processing; ELECTRONIC records; WEB services; COMPUTER software; Computer, computer peripheral and pre-packaged software merchant wholesalers; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; Computer and software stores; Software publishers (except video game publishers); All Other Miscellaneous Schools and Instruction; Educational Support Services; Administration of Education Programs; Data Processing, Hosting, and Related Services; TEACHING; EDUCATION","evaluation; information resource; information retrieval; natural language processing; visual interface for knowledge representation","During the organization and planning of lecture courses for a discipline, its content may be overlapped and partially delivered in more than one course. Sometimes this action causes time loss through unnecessary repeating. This paper introduces an automated tool for duplications detections adapting methods of natural language processing used for Web search. The experiment for unstructured electronic document repositories clustering for thematic duplicate identification in different documents in the case of educational domain is presented. A prototype of this Web service-based software search engine is being designed and discussed. The experiment aimed to identify thematic duplicates of various courses within one of the teaching disciplines is also presented. [ABSTRACT FROM AUTHOR] Copyright of Expert Systems is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=124518582&site=bsi-live"
"A Novel classification framework for the Thirukkural for building an efficient search system.","Ramalingam, Anita; Navaneethakrishnan, Subalalitha Chinnaudayar","Journal of Intelligent & Fuzzy Systems",="10641246",,="2022","42","3","2397","12","156139289","10.3233/JIFS-211667","IOS Press","Article","INFORMATION retrieval; RANDOM forest algorithms; SUPPORT vector machines; NAIVE Bayes classification; KEYWORD searching","information retrieval; morphological analysis; multinomial naive bayes classifier; Natural language processing; text classification; the Thirukkural","Thirukkural, a Tamil classic literature, which was written in 300 BCE is a didactic literature. Though Thirukkural comprises 1330 couplets which are organized into three sections and 133 chapters, in order to retrieve meaningful Thirukkural for a given query in search systems, a better organization of the Thirukkural is needed. This paper lays such a foundation by classifying the Thirukkural into ten new categories called superclasses that is helpful for building a better Information Retrieval (IR) system. The classifier is trained using Multinomial Naïve Bayes algorithm. Each superclass is further classified into two subcategories based on the didactic information. The proposed classification framework is evaluated using precision, recall and F-score metrics and achieved an overall F-score of 82.33% and a comparison analysis has been done with the Support Vector Machine, Logistic Regression and Random Forest algorithms. An IR system is built on top of the proposed system and the performance comparison has been done with the Google search and a locally built keyword search. The proposed classification framework has achieved a mean average precision score of 89%, whereas the Google search and keyword search have yielded 59% and 68% respectively. [ABSTRACT FROM AUTHOR] Copyright of Journal of Intelligent & Fuzzy Systems is the property of IOS Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=156139289&site=bsi-live"
"A novel method for providing relational databases with rich semantics and natural language processing.","Hamaz, Kamal; Benchikha, Fouzia","Journal of Enterprise Information Management",="17410398",,="2017","30","3","503","23","122548771","10.1108/JEIM-01-2015-0005","Emerald Publishing Limited","Article","NATURAL language processing; RELATIONAL databases; SEMANTICS","Enrichment; Information retrieval; Natural language processing; Ontologies; Relational databases; Reverse engineering","Purpose With the development of systems and applications, the number of users interacting with databases has increased considerably. The relational database model is still considered as the most used model for data storage and manipulation. However, it does not offer any semantic support for the stored data which can facilitate data access for the users. Indeed, a large number of users are intimidated when retrieving data because they are non-technical or have little technical knowledge. To overcome this problem, researchers are continuously developing new techniques for Natural Language Interfaces to Databases (NLIDB). Nowadays, the usage of existing NLIDBs is not widespread due to their deficiencies in understanding natural language (NL) queries. In this sense, the purpose of this paper is to propose a novel method for an intelligent understanding of NL queries using semantically enriched database sources.Design/methodology/approach First a reverse engineering process is applied to extract relational database hidden semantics. In the second step, the extracted semantics are enriched further using a domain ontology. After this, all semantics are stored in the same relational database. The phase of processing NL queries uses the stored semantics to generate a semantic tree.Findings The evaluation part of the work shows the advantages of using a semantically enriched database source to understand NL queries. Additionally, enriching a relational database has given more flexibility to understand contextual and synonymous words that may be used in a NL query.Originality/value Existing NLIDBs are not yet a standard option for interfacing a relational database due to their lack for understanding NL queries. Indeed, the techniques used in the literature have their limits. This paper handles those limits by identifying the NL elements by their semantic nature in order to generate a semantic tree. This last is a key solution towards an intelligent understanding of NL queries to relational databases. [ABSTRACT FROM AUTHOR] Copyright of Journal of Enterprise Information Management is the property of Emerald Publishing Limited and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=122548771&site=bsi-live"
"A Review and Future Perspectives of Arabic Question Answering Systems.","Ray, Santosh K.; Shaalan, Khaled","IEEE Transactions on Knowledge & Data Engineering",="10414347",,="Dec2016","28","12","3169","22","119353200","10.1109/TKDE.2016.2607201","IEEE","Article","NATURAL language processing; INTERNET; Wired Telecommunications Carriers; Internet Publishing and Broadcasting and Web Search Portals; QUESTION answering systems; ARABIC language; COMPUTATIONAL linguistics","Computer architecture; Document retrieval; Internet; Knowledge based systems; Knowledge discovery; literature review; Natural language processing; query expansion; question answering systems; Search engines; Standards; tools for arabic information retrieval","Question Answering Systems (QASs) have emerged as a good alternative for information seekers to retrieve precise information over the Internet. A good amount of research has been done to improve the performance of QASs across several languages, including European and Asian languages. However, Arabic, a morphologically rich Semitic language spoken by over 422 million people, has not seen similar development in the field of question answering. This article reviews the developments taking place in Arabic QASs as well as the challenges faced by researchers in developing Arabic QASs. After conducting an extensive literature survey of a number of English and Arabic QASs, this article classifies them according to several criteria. The most commonly used architecture for the development of an Arabic QAS, known as pipeline architecture, has been presented. In order to encourage and support the new researchers and scholars in conducting research in Arabic QASs, a list of techniques, tools, and computational linguistic resources, required to implement the components of the presented pipelined architecture, are described in this article in a simple and persuasive manner. Finally, the gap analysis between the research in Arabic and English QASs has been performed and accordingly, some future directions for research in Arabic QASs have been proposed. [ABSTRACT FROM PUBLISHER] Copyright of IEEE Transactions on Knowledge & Data Engineering is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=119353200&site=bsi-live"
"A Review of Modern Fashion Recommender Systems.","DELDJOO, YASHAR; NAZARY, FATEMEH; RAMISA, ARNAU; MCAULEY, JULIAN; PELLEGRINI, GIOVANNI; BELLOGIN, ALEJANDRO; DI NOIA, TOMMASO","ACM Computing Surveys",="03600300",,="Apr2024","56","4","1","37","174004917","10.1145/3624733","Association for Computing Machinery","Article",,"artificial intelligence; computer vision; e-commerce; fashion retail; information retrieval; machine learning; Recommender systems; text mining",,"https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=174004917&site=bsi-live"
"Accounting fraud detection using contextual language learning.","Bhattacharya, Indranil; Mickovic, Ana","International Journal of Accounting Information Systems",="14670895",,="Jun2024","53",,"N.PAG","1","177747955","10.1016/j.accinf.2024.100682","Elsevier B.V.","Article","ACCOUNTING fraud; FORENSIC accounting; ACCOUNTING software; UNITED States. Securities & Exchange Commission; Other Accounting Services; Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors; FRAUD investigation; CONTEXTUAL learning; LANGUAGE models","Accounting fraud detection; BERT; Information Retrieval; Natural Language Processing","• Financial reporting text is an important source of information for fraud detection. • Application of BERT in accounting fraud detection setting. • Contextual learning improves accounting fraud detection relative to benchmarks. • Final model outperforms existing textual and quantitative benchmark models. • We provide practical insights for financial investigators. Accounting fraud is a widespread problem that causes significant damage in the economic market. Detection and investigation of fraudulent firms require a large amount of time, money, and effort for corporate monitors and regulators. In this study, we explore how textual contents from financial reports help in detecting accounting fraud. Pre-trained contextual language learning models, such as BERT, have significantly advanced natural language processing in recent years. We fine-tune the BERT model on Management Discussion and Analysis (MD&A) sections of annual 10-K reports from the Securities and Exchange Commission (SEC) database. Our final model outperforms the textual benchmark model and the quantitative benchmark model from the previous literature by 15% and 12%, respectively. Further, our model identifies five times more fraudulent firm-year observations than the textual benchmark by investigating the same number of firms, and three times more than the quantitative benchmark. Optimizing this investigation process, where more fraudulent observations are detected in the same size of the investigation sample, would be of great economic significance for regulators, investors, financial analysts, and auditors. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Accounting Information Systems is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=177747955&site=bsi-live"
"An augmented semantic search tool for multilingual news analytics.","Harikumar, Sandhya; Sathyajit, Rohit; Karumudi, Gnana Venkata Naga Sai Kalyan","Journal of Intelligent & Fuzzy Systems",="10641246",,="2022","43","6","8315","13","160553638","10.3233/JIFS-221184","IOS Press","Article","INFORMATION retrieval; NATURAL language processing; SEARCH engines; KEYWORD searching; ENGLISH language","Latent dirichlet allocation(LDA); multilingual; natural language processing(NLP); News analytics; semantic information retrieval","News feeds generate colossal amount of data consisting of important information hidden in the intricacies. State of the art methods are still at infancy in providing a very generic and publicly available solution to skim through the important information in the news from various sources and an ability to search using specific keywords in different languages. This paper focuses on designing a tool to extract semantic details from news articles published through various internet sources in various languages. The semantic information is stored within DBMS for ease of organizing and retrieving the data. Further, a querying facility to search through entire articles based on the keyword or date-based search is also proposed to view the crisp content. The news articles in English, and two Indian languages - Hindi and Malayalam are considered for experimentation. The proposed strategy consists of two main components namely, Generative model creation and Query engine. Generative model aims to extract important entities and keywords along with their relevance to the article and other similar articles using Latent Dirichlet Allocation(LDA) and Named Entity Recognition(NER). Query engine is to facilitate on the fly retrieval of semantic content from the database, based on user keyword. The search engine, along with database indexing, reduces the access time to the database thereby retrieving the information in less time. Experimental results show that the proposed method is effective in terms of quality of information and time consumed for information retrieval. [ABSTRACT FROM AUTHOR] Copyright of Journal of Intelligent & Fuzzy Systems is the property of IOS Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=160553638&site=bsi-live"
"An ensemble clustering approach for topic discovery using implicit text segmentation.","Memon, Muhammad Qasim; Lu, Yu; Chen, Penghe; Memon, Aasma; Pathan, Muhammad Salman; Zardari, Zulfiqar Ali","Journal of Information Science",="01655515",,="Aug2021","47","4","431","27","151171329","10.1177/0165551520911590","Sage Publications, Ltd.","Article","INFORMATION retrieval; NATURAL language processing; WORD frequency","Information retrieval; natural language processing; ontological similarity; text clustering; text mining; text segmentation","Text segmentation (TS) is the process of dividing multi-topic text collections into cohesive segments using topic boundaries. Similarly, text clustering has been renowned as a major concern when it comes to multi-topic text collections, as they are distinguished by sub-topic structure and their contents are not associated with each other. Existing clustering approaches follow the TS method which relies on word frequencies and may not be suitable to cluster multi-topic text collections. In this work, we propose a new ensemble clustering approach (ECA) is a novel topic-modelling-based clustering approach, which induces the combination of TS and text clustering. We improvised a LDA-onto (LDA-ontology) is a TS-based model, which presents a deterioration of a document into segments (i.e. sub-documents), wherein each sub-document is associated with exactly one sub-topic. We deal with the problem of clustering when it comes to a document that is intrinsically related to various topics and its topical structure is missing. ECA is tested through well-known datasets in order to provide a comprehensive presentation and validation of clustering algorithms using LDA-onto. ECA exhibits the semantic relations of keywords in sub-documents and resultant clusters belong to original documents that they contain. Moreover, present research sheds the light on clustering performances and it indicates that there is no difference over performances (in terms of F -measure) when the number of topics changes. Our findings give above par results in order to analyse the problem of text clustering in a broader spectrum without applying dimension reduction techniques over high sparse data. Specifically, ECA provides an efficient and significant framework than the traditional and segment-based approach, such that achieved results are statistically significant with an average improvement of over 10.2%. For the most part, proposed framework can be evaluated in applications where meaningful data retrieval is useful, such as document summarization, text retrieval, novelty and topic detection. [ABSTRACT FROM AUTHOR] Copyright of Journal of Information Science is the property of Sage Publications, Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=151171329&site=bsi-live"
"An improved Urdu stemming algorithm for text mining based on multi-step hybrid approach.","Jabbar, Abdul; Iqbal, Sajid; Akhunzada, Adnan; Abbas, Qaisar","Journal of Experimental & Theoretical Artificial Intelligence",="0952813X",,="Sep2018","30","5","703","21","132054653","10.1080/0952813X.2018.1467495","Taylor & Francis Ltd","Article","ARTIFICIAL intelligence; ALGORITHMS; DATA mining; ELECTRONIC data processing; Data Processing, Hosting, and Related Services; MACHINE learning","affixes; information retrieval; lemmatization; natural language processing; stemming; text mining; Urdu; Urdu stemmer","Stemming is the basic operation in Natural language processing (NLP) to remove derivational and inflectional affixes without performing a morphological analysis. This practice is essential to extract the root or stem. In NLP domains, the stemmer is used to improve the process of information retrieval (IR), text classifications (TC), text mining (TM) and related applications. In particular, Urdu stemmers utilize only uni-gram words from the input text by ignoring bigrams, trigrams, and n-gram words. To improve the process and efficiency of stemming, bigrams and trigram words must be included. Despite this fact, there are a few developed methods for Urdu stemmers in the past studies. Therefore, in this paper, we proposed an improved Urdu stemmer, using hybrid approach divided into multi-step operation, to deal with unigram, bigram, and trigram features as well. To evaluate the proposed Urdu stemming method, we have used two corpora; word corpus and text corpus. Moreover, two different evaluation metrics have been applied to measure the performance of the proposed algorithm. The proposed algorithm achieved an accuracy of 92.97% and compression rate of 55%. These experimental results indicate that the proposed system can be used to increase the effectiveness and efficiency of the Urdu stemmer for better information retrieval and text mining applications. [ABSTRACT FROM AUTHOR] Copyright of Journal of Experimental & Theoretical Artificial Intelligence is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=132054653&site=bsi-live"
"An open source and modular search engine for biomedical literature retrieval.","Almeida, Hayda; Jean‐Louis, Ludovic; Meurs, Marie‐Jean","Computational Intelligence",="08247935",,="Feb2018","34","1","200","19","128227532","10.1111/coin.12125","Wiley-Blackwell","Article","OPEN source software; SEARCH engines; NATURAL language processing; DATA mining; Research and development in the physical, engineering and life sciences; Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology); BIOLOGICAL research","biomedical literature, document index, full‐text search, information retrieval, natural language processing, natural language query, search engine","Abstract: This work presents the bioMine system, a full‐text natural language search engine for biomedical literature. bioMine provides search capabilities based on the full‐text content of documents belonging to a database composed of scientific articles and allows users to submit their search queries using natural language. Beyond the text content of articles, the system engine also uses article metadata, empowering the search by considering extra information from picture and table captions. bioMine is publicly released as an open‐source system under the MIT license. [ABSTRACT FROM AUTHOR] Copyright of Computational Intelligence is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=128227532&site=bsi-live"
